date,mean_pm25,median_pm25,stations_reporting
2025-11-01,297.43956704913415,289.07544708251953,1
2025-11-02,224.34542719051493,213.57666099639167,1
2025-11-03,155.80727601552766,167.90468770188173,1
2025-11-04,145.89091883248122,146.0192710104443,2
2025-11-05,151.75434786169942,145.84585396448773,2
2025-11-06,246.91813503712208,247.67075004577637,2
2025-11-07,237.96705729925412,193.01696375438144,2
2025-11-08,335.5107027177997,293.5442700613113,2
2025-11-09,282.6331351645826,275.8585808072771,2
2025-11-10,349.99927466908713,348.4805887561994,2
2025-11-11,371.21516082080797,373.6511172112964,2
2025-11-12,434.6695283334722,497.2568976856413,2
2025-11-13,356.1751323929649,360.8676992825099,2
2025-11-14,321.2668818198035,310.0149557022821,2
2025-11-15,308.2589645473472,320.9973687171936,2
2025-11-16,292.07349059846547,281.30193425133115,2
2025-11-17,293.0156854895843,297.6480657713754,2
2025-11-18,335.02261174605417,328.7360855965387,2
2025-11-19,345.38045308566285,372.66912792750765,2
2025-11-20,325.6418203110733,357.8688308715821,2
2025-11-21,316.22515096228733,299.3691994212923,2
2025-11-22,324.5876314269179,334.7509672074091,2
2025-11-23,382.4258218700902,394.367857229142,2
2025-11-24,322.51292908462614,338.663318883805,2
2025-11-25,284.542596248833,304.1016365914118,2
2025-11-26,253.94687489455973,260.2706846055531,2
2025-11-27,321.38264915950543,367.1677832376389,2
2025-11-28,273.95057449705416,265.65850016276045,3
2025-11-29,186.23535071393482,190.77942521912712,3
2025-11-30,190.21766333759584,204.52791659037274,3
2025-12-01,226.36842382286076,244.44983342488607,3
2025-12-02,377.4942136528381,382.76467968168714,3
2026-01-08,130.25394366197185,137.83,1
2026-01-09,186.92842105263156,186.64,1
